Date,Open,High,Low,Close,Volume
9/21/2015 16:00:00,61.52,61.91,61.08,61.45,13136087
9/22/2015 16:00:00,60.6,61.09,60.42,60.91,14811862
9/23/2015 16:00:00,60.8,61.15,60.32,60.64,11707347
9/24/2015 16:00:00,60.01,60.38,59.46,60.22,17290898
9/25/2015 16:00:00,61.27,61.86,60.87,61.47,18382120
9/28/2015 16:00:00,60.92,61.01,59.69,59.98,17451555
9/29/2015 16:00:00,59.98,60.13,58.73,59.84,19334432
9/30/2015 16:00:00,60.7,61,60.11,60.97,18738119
10/01/2015 16:00,61.12,61.87,60.54,61.42,16858972
10/02/2015 16:00,59.59,60.86,58.53,60.81,20435003
10/05/2015 16:00,61.24,62.24,61.22,62.02,13470764
10/06/2015 16:00,62.11,62.36,61.62,62.05,12134800
10/07/2015 16:00,62.55,63.03,61.76,62.13,12817978
10/08/2015 16:00,61.85,62.25,61.43,62.13,13964567
10/09/2015 16:00,62.39,62.55,61.58,61.93,12111652
10/12/2015 16:00,61.84,62.01,61.4,61.72,10850048
10/13/2015 16:00:00,61.39,62.16,61.31,61.55,15610487
10/14/2015 16:00:00,60.76,60.97,59.54,59.99,28983638
10/15/2015 16:00:00,60.47,61.96,60.1,61.89,18147143
10/16/2015 16:00:00,62.43,62.65,62.09,62.43,17456576
10/19/2015 16:00:00,62,62.77,61.91,62.22,14509439
10/20/2015 16:00:00,62.36,62.82,62.08,62.52,11545128
10/21/2015 16:00:00,62.88,62.96,62.05,62.06,12171798
10/22/2015 16:00:00,62.42,63.58,62.42,63.19,15294131
10/23/2015 16:00:00,63.63,64.19,63.5,63.87,16985194
10/26/2015 16:00:00,63.84,63.99,63.41,63.9,13880165
10/27/2015 16:00:00,63.53,63.86,63.31,63.64,8831857
10/28/2015 16:00:00,63.7,65.74,63.69,65.5,17960563
10/29/2015 16:00:00,65.26,65.83,64.88,65.21,12752676
10/30/2015 16:00:00,65.3,65.34,64.13,64.25,15731285
11/02/2015 16:00,64.45,65.75,64.39,65.54,15252502
11/03/2015 16:00,65.29,66.1,65.17,65.78,11519476
11/04/2015 16:00,66.01,66.15,65.63,65.85,11388297
11/05/2015 16:00,65.79,66.67,65.75,66.44,12715777
11/06/2015 16:00,68.37,69.03,68.1,68.46,23260713
11/09/2015 16:00,68.45,68.72,67.08,67.39,17143671
11/10/2015 16:00,67.19,67.85,66.93,67.68,13237446
11/11/2015 16:00,68.1,68.17,67.25,67.35,8513900
11/12/2015 16:00,66.86,66.9,65.95,66,13576050
11/13/2015 16:00:00,65.84,66.17,65.23,65.56,11828786
11/16/2015 16:00:00,65.46,66.58,65.17,66.51,11041091
11/17/2015 16:00:00,66.67,66.74,65.89,66.13,12354569
11/18/2015 16:00:00,66.48,67.55,66.37,67.45,12910983
11/19/2015 16:00:00,67.58,67.82,67.04,67.66,12839394
11/20/2015 16:00:00,67.99,68.11,67.38,67.54,11209466
11/23/2015 16:00:00,67.31,67.58,66.78,66.88,11338963
11/24/2015 16:00:00,66.17,67.14,66.04,66.78,10910042
11/25/2015 16:00:00,66.93,67.12,66.55,66.86,7772026
11/27/2015 16:00:00,67,67.33,66.64,67.17,4052853
11/30/2015 16:00:00,67.28,67.52,66.68,66.68,15147536
12/01/2015 16:00,67.34,67.83,66.99,67.61,12707709
