Date,rf_rate
2017-01-18,5.7777777777777776e-05
2017-01-19,5.666666666666667e-05
2017-01-20,5.4444444444444446e-05
2017-01-23,5.666666666666667e-05
2017-01-24,5.555555555555556e-05
2017-01-25,5.4444444444444446e-05
2017-01-26,5.555555555555556e-05
2017-01-27,5.666666666666667e-05
2017-01-30,5.666666666666667e-05
2017-01-31,5.7777777777777776e-05
2017-02-01,5.555555555555556e-05
2017-02-02,5.666666666666667e-05
2017-02-03,5.555555555555556e-05
2017-02-06,5.888888888888889e-05
2017-02-07,5.888888888888889e-05
2017-02-08,5.888888888888889e-05
2017-02-09,5.888888888888889e-05
2017-02-10,6e-05
2017-02-13,5.7777777777777776e-05
2017-02-14,6e-05
2017-02-15,5.888888888888889e-05
2017-02-16,5.7777777777777776e-05
2017-02-17,5.7777777777777776e-05
2017-02-21,5.888888888888889e-05
2017-02-22,5.7777777777777776e-05
2017-02-23,5.666666666666667e-05
2017-02-24,5.666666666666667e-05
2017-02-27,5.555555555555556e-05
2017-02-28,5.888888888888889e-05
2017-03-01,6.888888888888888e-05
2017-03-02,7.333333333333333e-05
2017-03-03,7.777777777777777e-05
2017-03-06,8.11111111111111e-05
2017-03-07,8.333333333333333e-05
2017-03-08,7.999999999999999e-05
2017-03-09,7.999999999999999e-05
2017-03-10,8.11111111111111e-05
2017-03-13,8.666666666666667e-05
2017-03-14,8.555555555555556e-05
2017-03-15,7.999999999999999e-05
2017-03-16,7.999999999999999e-05
2017-03-17,7.999999999999999e-05
2017-03-20,8.333333333333333e-05
2017-03-21,8.444444444444444e-05
2017-03-22,8.444444444444444e-05
2017-03-23,8.333333333333333e-05
2017-03-24,8.555555555555556e-05
2017-03-27,8.555555555555556e-05
2017-03-28,8.555555555555556e-05
2017-03-29,8.555555555555556e-05
2017-03-30,8.555555555555556e-05
2017-03-31,8.333333333333333e-05
2017-04-03,8.666666666666667e-05
2017-04-04,8.666666666666667e-05
2017-04-05,8.777777777777778e-05
2017-04-06,8.666666666666667e-05
2017-04-07,9.000000000000002e-05
2017-04-10,9.000000000000002e-05
2017-04-11,9.000000000000002e-05
2017-04-12,8.888888888888889e-05
2017-04-13,8.888888888888889e-05
2017-04-17,9.11111111111111e-05
2017-04-18,9.000000000000002e-05
2017-04-19,8.888888888888889e-05
2017-04-20,8.666666666666667e-05
2017-04-21,8.666666666666667e-05
2017-04-24,8.888888888888889e-05
2017-04-25,9.000000000000002e-05
2017-04-26,9.11111111111111e-05
2017-04-27,8.888888888888889e-05
2017-04-28,8.777777777777778e-05
2017-05-01,9.11111111111111e-05
2017-05-02,9.000000000000002e-05
2017-05-03,9.333333333333333e-05
2017-05-04,9.333333333333333e-05
2017-05-05,9.777777777777778e-05
2017-05-08,0.00010000000000000002
2017-05-09,0.00010000000000000002
2017-05-10,9.888888888888889e-05
2017-05-11,9.666666666666665e-05
2017-05-12,9.555555555555555e-05
2017-05-15,9.888888888888889e-05
2017-05-16,9.888888888888889e-05
2017-05-17,9.888888888888889e-05
2017-05-18,0.00010111111111111112
2017-05-19,0.00010000000000000002
2017-05-22,0.00010222222222222222
2017-05-23,0.00010111111111111112
2017-05-24,0.00010222222222222222
2017-05-25,0.00010222222222222222
2017-05-26,0.00010222222222222222
2017-05-30,0.00010222222222222222
2017-05-31,0.00010666666666666665
2017-06-01,0.00010666666666666665
2017-06-02,0.00010666666666666665
2017-06-05,0.00010555555555555555
