Date,Open,High,Low,Close,Volume
3/03/2015 16:00,103.1,103.1,101.81,102.34,6419659
3/04/2015 16:00,102.12,102.12,101.17,101.65,8665474
3/05/2015 16:00,102.07,103.21,102,102.52,8042336
3/06/2015 16:00,102.09,102.43,99.88,100.11,9287621
3/09/2015 16:00,100.2,100.92,99.76,100.66,5701032
3/10/2015 16:00,99.99,100.44,99.51,99.53,8735543
3/11/2015 16:00,99.83,99.83,98.22,98.32,9138141
3/12/2015 16:00,98.96,100.24,98.83,99.83,8317991
3/13/2015 16:00:00,99.85,100.05,98.64,99.21,7821793
3/16/2015 16:00:00,99.74,101.07,99.74,101.06,7726489
3/17/2015 16:00:00,100.11,100.52,99.41,99.89,7301526
3/18/2015 16:00:00,99.89,101.74,99.13,101.46,7972158
3/19/2015 16:00:00,101.04,101.96,100.91,101.69,6863087
3/20/2015 16:00:00,101.87,102.9,101.76,102.4,12432582
3/23/2015 16:00:00,102.47,103.35,102.23,102.98,9015961
3/24/2015 16:00:00,102.83,103.23,101.93,101.96,8390678
3/25/2015 16:00:00,101.85,102.5,100.34,100.34,8443819
3/26/2015 16:00:00,99.95,100.81,99.56,100.14,9972373
3/27/2015 16:00:00,100.28,100.95,100.15,100.34,5847382
3/30/2015 16:00:00,101.08,101.86,100.76,101.55,6060862
3/31/2015 16:00:00,100.97,101.49,100.59,100.6,8027904
4/01/2015 16:00,100.46,100.46,98.61,99.15,11367276
4/02/2015 16:00,99.44,99.99,98.89,99.64,6097146
4/06/2015 16:00,98.84,99.56,98.04,99.16,9697573
4/07/2015 16:00,99.55,100.87,99.43,100.1,7900288
4/08/2015 16:00,99.84,100.45,99.6,100.16,7354110
4/09/2015 16:00,100.57,101.65,100.33,101.33,8073787
4/10/2015 16:00,101.33,102.14,100.93,102.06,6786446
4/13/2015 16:00:00,101.54,101.98,100.55,100.55,10749867
4/14/2015 16:00:00,101.05,101.46,100.19,100.52,9321461
